Testfall	ToolID	Variable	Fehlercode	Max	Min	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R² coefficient determination	std dev	SimQuality-Score	SimQ-Einordnung
04-WaermeleitungSpeicherung	Aixlib	Variante 1 Raum A	0	0.09	6.49	-0.01	5.29	0.0	-0.04	0.25	0.03	0.00095	99.98	1.72	-99	30.0	20.0	29.22	97.973	Gold
04-WaermeleitungSpeicherung	Aixlib	Variante 2 Raum A	0	1.96	21.9	0.01	31.79	0.22	0.03	23.03	0.47	0.01876	54.86	0.76	-99	25.5	22.93	24.17	77.32650000000001	Failed
04-WaermeleitungSpeicherung	Aixlib	Variante 3 Raum A	0	0.84	4.61	-0.13	43.24	0.04	-0.54	10.48	0.2	0.0082	75.5	0.49	-99	24.43	22.2	23.75	82.569	Bronze
04-WaermeleitungSpeicherung	Aixlib	Variante 3 Raum B	0	0.86	20.07	-0.17	34.48	0.04	-0.72	8.39	0.2	0.00843	87.72	0.67	-99	24.19	21.55	23.54	85.6135	Bronze
04-WaermeleitungSpeicherung	Aixlib	Variante 4 Raum A	0	1.06	15.94	-0.13	12.84	0.04	-0.65	7.97	0.2	0.0099	94.16	0.75	-99	20.32	18.06	19.14	92.49000000000001	Silver
04-WaermeleitungSpeicherung	Aixlib	Variante 4 Raum B	0	1.02	26.65	-0.18	33.64	0.04	-0.94	20.67	0.2	0.00964	54.94	0.22	-99	19.42	18.7	19.09	77.23349999999999	Failed
04-WaermeleitungSpeicherung	ETU	Variante 1 Raum A	0	0.07	19.23	-0.01	4.13	0.0	-0.02	0.2	0.02	0.00084	99.99	1.71	-99	30.0	20.0	29.23	96.998	Gold
04-WaermeleitungSpeicherung	ETU	Variante 2 Raum A	0	1.74	23.04	-0.0	28.18	0.18	-0.01	20.42	0.42	0.01664	64.53	0.81	-99	25.46	22.93	24.17	80.22799999999998	Bronze
04-WaermeleitungSpeicherung	ETU	Variante 3 Raum A	0	1.79	113.83	0.0	91.74	0.18	0.0	22.23	0.43	0.01714	-10.31	0.52	-99	24.78	22.22	23.88	43.578	Failed
04-WaermeleitungSpeicherung	ETU	Variante 3 Raum B	0	0.16	28.16	0.01	6.54	0.0	0.02	1.59	0.04	0.00157	99.56	0.57	-99	24.22	21.89	23.72	95.0805	Gold
04-WaermeleitungSpeicherung	ETU	Variante 4 Raum A	0	2.17	48.68	-0.03	26.27	0.18	-0.16	16.31	0.42	0.02063	75.55	0.93	-99	20.87	17.75	19.23	80.8595	Bronze
04-WaermeleitungSpeicherung	ETU	Variante 4 Raum B	0	0.36	25.07	-0.01	12.03	0.0	-0.05	7.39	0.07	0.00347	94.23	0.31	-99	19.7	18.71	19.26	91.785	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 1 Raum A	0	0.13	8.81	-0.01	8.16	0.0	-0.03	0.39	0.04	0.00142	99.95	1.73	-99	29.99	20.0	29.23	96.98150000000001	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 2 Raum A	0	0.78	19.97	0.03	12.67	0.04	0.14	9.18	0.19	0.0075	92.83	0.68	-99	25.39	23.02	24.2	91.42999999999999	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 3 Raum A	0	0.28	21.3	0.05	14.21	0.0	0.21	3.44	0.07	0.00264	97.35	0.42	-99	24.54	22.52	23.94	93.0075	Silver
04-WaermeleitungSpeicherung	IDAICE	Variante 3 Raum B	0	0.22	0.42	0.05	8.7	0.0	0.22	2.12	0.05	0.00208	99.22	0.58	-99	24.25	21.83	23.76	97.08099999999999	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 4 Raum A	0	0.43	14.8	0.01	5.26	0.01	0.07	3.27	0.08	0.00407	99.02	0.89	-99	20.7	17.93	19.28	96.223	Gold
04-WaermeleitungSpeicherung	IDAICE	Variante 4 Raum B	0	0.12	3.95	0.02	4.03	0.0	0.1	2.48	0.02	0.00115	99.35	0.3	-99	19.73	18.75	19.29	97.85499999999999	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 1 Raum A	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.71	-99	30.0	20.0	29.24	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 2 Raum A	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.71	-99	25.19	23.13	24.17	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 3 Raum A	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.41	-99	24.43	22.51	23.88	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 3 Raum B	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.58	-99	24.2	21.78	23.71	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 4 Raum A	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.85	-99	20.54	17.98	19.26	100.0	Gold
04-WaermeleitungSpeicherung	NANDRAD	Variante 4 Raum B	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.29	-99	19.7	18.75	19.27	100.0	Gold
04-WaermeleitungSpeicherung	TAS	Variante 1 Raum A	0	0.07	7.15	-0.01	4.57	0.0	-0.05	0.22	0.02	0.00085	99.98	1.72	-99	29.99	20.0	29.22	98.09700000000001	Gold
04-WaermeleitungSpeicherung	TAS	Variante 2 Raum A	0	0.11	4.18	-0.01	1.83	0.0	-0.02	1.32	0.03	0.00108	99.85	0.68	-99	25.15	23.18	24.16	98.777	Gold
04-WaermeleitungSpeicherung	TAS	Variante 3 Raum A	0	0.06	6.85	-0.0	3.29	0.0	-0.01	0.8	0.02	0.00061	99.86	0.4	-99	24.41	22.54	23.88	98.27399999999999	Gold
04-WaermeleitungSpeicherung	TAS	Variante 3 Raum B	0	0.02	4.22	-0.0	0.85	0.0	-0.0	0.21	0.0	0.0002	99.99	0.58	-99	24.2	21.79	23.71	99.3115	Gold
04-WaermeleitungSpeicherung	TAS	Variante 4 Raum A	0	0.06	2.88	-0.0	0.76	0.0	-0.01	0.47	0.01	0.0006	99.98	0.85	-99	20.54	17.98	19.26	99.404	Gold
04-WaermeleitungSpeicherung	TAS	Variante 4 Raum B	0	0.02	1.57	-0.0	0.63	0.0	-0.01	0.39	0.0	0.00018	99.98	0.29	-99	19.7	18.74	19.27	99.5875	Gold
04-WaermeleitungSpeicherung	THERAKLES	Variante 1 Raum A	0	0.08	3.48	-0.01	4.64	0.0	-0.04	0.22	0.02	0.0008	99.98	1.72	-99	30.0	20.0	29.22	98.444	Gold
04-WaermeleitungSpeicherung	THERAKLES	Variante 2 Raum A	0	0.03	0.21	0.0	0.48	0.0	0.0	0.35	0.01	0.00028	99.99	0.7	-99	25.19	23.14	24.17	99.77	Gold
04-WaermeleitungSpeicherung	TRNSYS	Variante 1 Raum A	0	0.08	3.41	-0.01	4.62	0.0	-0.04	0.22	0.02	0.00079	99.98	1.72	-99	30.0	20.0	29.22	98.45599999999999	Gold
