Stunde im Jahr [h]	Var1.Raumlufttemperatur [C]	Var2.Raumlufttemperatur [C]	Var3.Raumlufttemperatur [C]
162	4.99843	4.99517	4.99703
163	4.99843	4.99519	4.99704
164	4.99843	4.9952	4.99704
165	4.99843	4.99521	4.99704
166	4.99844	4.99523	4.99705
167	4.99844	4.99524	4.99705
168	4.99844	4.99526	4.99706
169	4.99844	4.99527	4.99706
170	4.99844	4.99529	4.99706
171	4.99844	4.9953	4.99707
172	4.99844	4.99532	4.99707
173	4.99844	4.99533	4.99708
174	4.99844	4.99535	4.99708
175	4.99844	4.99536	4.99708
176	4.99845	4.99538	4.99709
177	4.99845	4.99539	4.99709
178	4.99845	4.9954	4.99709
179	4.99845	4.99542	4.9971
180	4.99845	4.99543	4.9971
181	4.99845	4.99545	4.99711
182	4.99845	4.99546	4.99711
183	4.99845	4.99548	4.99711
184	4.99845	4.99549	4.99712
185	4.99845	4.9955	4.99712
186	4.99845	4.99552	4.99712
187	4.99845	4.99553	4.99713
188	4.99846	4.99555	4.99713
189	4.99846	4.99556	4.99714
190	4.99846	4.99557	4.99714
191	4.99846	4.99559	4.99714
192	4.99846	4.9956	4.99715
193	4.99846	4.99561	4.99715
194	4.99846	4.99563	4.99715
195	4.99846	4.99564	4.99716
196	4.99846	4.99566	4.99716
197	4.99846	4.99567	4.99716
198	4.99847	4.99568	4.99717
199	4.99847	4.9957	4.99717
200	4.99847	4.99571	4.99718
201	4.99847	4.99572	4.99718
202	4.99847	4.99574	4.99718
203	4.99847	4.99575	4.99719
204	4.99847	4.99576	4.99719
205	4.99847	4.99578	4.99719
206	4.99847	4.99579	4.9972
207	4.99847	4.9958	4.9972
208	4.99847	4.99582	4.9972
209	4.99848	4.99583	4.99721
210	4.99848	4.99584	4.99721
211	4.99848	4.99585	4.99721
212	4.99848	4.99587	4.99722
213	4.99848	4.99588	4.99722
214	4.99848	4.99589	4.99723
215	4.99848	4.9959	4.99723
216	4.99848	4.99592	4.99723
217	4.99848	4.99593	4.99724
218	4.99848	4.99594	4.99724
219	4.99848	4.99596	4.99724
220	4.99848	4.99597	4.99725
221	4.99848	4.99598	4.99725
222	4.99849	4.99599	4.99725
223	4.99849	4.99601	4.99726
224	4.99849	4.99602	4.99726
225	4.99849	4.99603	4.99726
226	4.99849	4.99604	4.99727
227	4.99849	4.99606	4.99727
228	4.99849	4.99607	4.99728
229	4.99849	4.99608	4.99728
230	4.99849	4.99609	4.99728
231	4.99849	4.9961	4.99729
232	4.9985	4.99612	4.99729
233	4.9985	4.99613	4.99729
234	4.9985	4.99614	4.9973
235	4.9985	4.99615	4.9973
236	4.9985	4.99616	4.9973
237	4.9985	4.99618	4.99731
238	4.9985	4.99619	4.99731
239	4.9985	4.9962	4.99731
240	4.9985	4.99621	4.99732
241	4.9985	4.99622	4.99732
242	4.9985	4.99624	4.99732
243	4.9985	4.99625	4.99733
244	4.99851	4.99626	4.99733
245	4.99851	4.99627	4.99733
246	4.99851	4.99628	4.99734
247	4.99851	4.99629	4.99734
248	4.99851	4.9963	4.99734
249	4.99851	4.99632	4.99735
250	4.99851	4.99633	4.99735
251	4.99851	4.99634	4.99735
252	4.99851	4.99635	4.99736
253	4.99851	4.99636	4.99736
254	4.99851	4.99637	4.99737
255	4.99852	4.99638	4.99737
256	4.99852	4.99639	4.99737
257	4.99852	4.99641	4.99737
258	4.99852	4.99642	4.99738
259	4.99852	4.99643	4.99738
260	4.99852	4.99644	4.99739
261	4.99852	4.99645	4.99739
262	4.99852	4.99646	4.99739
263	4.99852	4.99647	4.9974
264	4.99852	4.99648	4.9974
265	4.99852	4.9965	4.9974
266	4.99852	4.99651	4.9974
267	4.99852	4.99652	4.99741
268	4.99853	4.99653	4.99741
269	4.99853	4.99654	4.99742
270	4.99853	4.99655	4.99742
271	4.99853	4.99656	4.99742
272	4.99853	4.99657	4.99742
273	4.99853	4.99658	4.99743
274	4.99853	4.99659	4.99743
275	4.99853	4.9966	4.99744
276	4.99853	4.99661	4.99744
277	4.99853	4.99662	4.99744
278	4.99854	4.99663	4.99744
279	4.99854	4.99664	4.99745
280	4.99854	4.99665	4.99745
281	4.99854	4.99667	4.99745
282	4.99854	4.99667	4.99746
283	4.99854	4.99669	4.99746
284	4.99854	4.9967	4.99746
285	4.99854	4.99671	4.99747
286	4.99854	4.99672	4.99747
287	4.99854	4.99673	4.99747
288	4.99854	4.99674	4.99748
289	4.99854	4.99675	4.99748
290	4.99855	4.99676	4.99748
291	4.99855	4.99677	4.99749
292	4.99855	4.99678	4.99749
293	4.99855	4.99679	4.99749
294	4.99855	4.9968	4.9975
295	4.99855	4.99681	4.9975
296	4.99855	4.99682	4.9975
297	4.99855	4.99683	4.99751
298	4.99855	4.99684	4.99751
299	4.99855	4.99685	4.99751
300	4.99855	4.99686	4.99752
301	4.99855	4.99687	4.99752
302	4.99855	4.99688	4.99752
303	4.99856	4.99689	4.99753
304	4.99856	4.9969	4.99753
305	4.99856	4.9969	4.99753
306	4.99856	4.99692	4.99754
307	4.99856	4.99692	4.99754
308	4.99856	4.99693	4.99754
309	4.99856	4.99694	4.99754
310	4.99856	4.99695	4.99755
311	4.99856	4.99696	4.99755
312	4.99856	4.99697	4.99755
313	4.99857	4.99698	4.99756
314	4.99857	4.99699	4.99756
315	4.99857	4.997	4.99756
316	4.99857	4.99701	4.99757
317	4.99857	4.99702	4.99757
318	4.99857	4.99703	4.99757
319	4.99857	4.99704	4.99758
320	4.99857	4.99705	4.99758
321	4.99857	4.99705	4.99758
322	4.99857	4.99707	4.99758
323	4.99857	4.99707	4.99759
324	4.99857	4.99708	4.99759
