Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1945	40.48	6.4514	37.90	37.8988	-0.0002	37.8280	34.54	0.0086	34.54	34.542	0.0085	34.538
1946	40.48	6.4514	37.90	37.8999	-0.0002	37.8291	34.49	0.0082	34.49	34.491	0.0082	34.488
1947	40.48	6.4514	37.90	37.9010	-0.0002	37.8303	34.44	0.0080	34.44	34.441	0.0080	34.438
1948	40.48	6.4514	37.90	37.9021	-0.0002	37.8314	34.40	0.0078	34.39	34.393	0.0078	34.390
1949	40.48	6.4514	37.90	37.9032	-0.0002	37.8325	34.35	0.0077	34.35	34.345	0.0077	34.342
1950	40.48	6.4514	37.90	37.9044	-0.0002	37.8336	34.30	0.0077	34.30	34.298	0.0077	34.294
1951	40.49	6.4514	37.91	37.9055	-0.0002	37.8347	36.02	3.7557	34.42	34.420	-0.0198	34.379
1952	40.49	6.4514	37.91	37.9066	-0.0002	37.8358	38.39	8.9726	34.67	34.672	-0.0406	34.578
1953	40.49	6.4514	37.91	37.9077	-0.0002	37.8369	40.28	13.0818	34.95	34.950	-0.0449	34.815
1954	40.49	6.4514	37.91	37.9088	-0.0002	37.8380	40.45	13.3598	35.10	35.101	-0.0243	34.963
1955	40.49	6.4514	37.91	37.9099	-0.0002	37.8391	40.57	13.3680	35.22	35.218	-0.0189	35.078
1956	40.49	6.4514	37.91	37.9109	-0.0002	37.8402	39.54	10.9722	35.21	35.208	0.0016	35.092
1957	40.49	6.4514	37.91	37.9120	-0.0002	37.8413	39.57	10.8015	35.25	35.249	-0.0066	35.133
1958	40.49	6.4514	37.91	37.9131	-0.0002	37.8424	40.74	13.1978	35.40	35.404	-0.0250	35.264
