Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
154	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
155	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
156	20	1.21E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
157	20	1.21E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
158	20	1.20E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
159	20	1.20E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
160	20	1.20E-06	20	20	4.12E-07	20	20	20.82	20	20	4.12E-07	20
161	20	1.20E-06	20	20	4.12E-07	20	20	20.89	20	20	4.12E-07	20
162	20	1.20E-06	20	20	4.12E-07	20	20	20.9	20	20	4.12E-07	20
163	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
164	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
165	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
166	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
167	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
168	20	1.20E-06	20	20	4.12E-07	20	20	20.91	20	20	4.12E-07	20
169	20	1.20E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
170	20	1.20E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
171	20	1.20E-06	20	20	4.12E-07	20	20	20	20	20	4.12E-07	20
172	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
173	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
174	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
175	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
176	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
177	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
178	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
179	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
180	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
181	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
182	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
183	20	1.20E-06	20	20	4.11E-07	20	20	20	20	20	4.11E-07	20
184	20	1.20E-06	20	20	4.11E-07	20	20	20.56	20	20	4.11E-07	20
185	20	1.20E-06	20	20	4.11E-07	20	20	20.61	20	20	4.11E-07	20
186	20	1.20E-06	20	20	4.11E-07	20	20	20.62	20	20	4.11E-07	20
187	20	1.20E-06	20	20	4.11E-07	20	20	20.62	20	20	4.11E-07	20
188	20	1.20E-06	20	20	4.11E-07	20	20	20.62	20	20	4.11E-07	20
189	20	1.20E-06	20	20	4.10E-07	20	20	20.62	20	20	4.10E-07	20
190	20	1.20E-06	20	20	4.10E-07	20	20	20.62	20	20	4.10E-07	20
191	20	1.20E-06	20	20	4.10E-07	20	20	20.62	20	20	4.10E-07	20
192	20	1.20E-06	20	20	4.10E-07	20	20	20.62	20	20	4.10E-07	20
193	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
194	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
195	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
196	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
197	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
198	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
199	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
200	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
201	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
202	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
203	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
204	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
205	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
206	20	1.20E-06	20	20	4.10E-07	20	20	20	20	20	4.10E-07	20
207	20	1.20E-06	20	20	4.09E-07	20	20	20	20	20	4.09E-07	20
208	20	1.20E-06	20	20	4.09E-07	20	20	20.38	20	20	4.09E-07	20
209	20	1.20E-06	20	20	4.09E-07	20	20	20.41	20	20	4.09E-07	20
210	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
211	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
212	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
213	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
214	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
215	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
216	20	1.20E-06	20	20	4.09E-07	20	20	20.42	20	20	4.09E-07	20
217	20	1.20E-06	20	20	4.09E-07	20	20	20	20	20	4.09E-07	20
218	20	1.20E-06	20	20	4.09E-07	20	20	20	20	20	4.09E-07	20
219	20	1.20E-06	20	20	4.09E-07	20	20	20	20	20	4.09E-07	20
