Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4540	40.822	6.452	38.242	38.242	0.000	38.242	34.591	0.008	34.588	34.509	0.008	34.506
4541	40.822	6.452	38.242	38.242	0.000	38.242	34.637	0.201	34.557	34.485	0.051	34.464
4542	40.822	6.452	38.242	38.242	0.000	38.242	36.367	3.830	34.835	34.779	-0.013	34.784
4543	40.822	6.452	38.242	38.242	0.000	38.242	38.799	8.819	35.271	35.204	-0.116	35.250
4544	40.822	6.452	38.242	38.242	0.000	38.242	40.754	12.742	35.657	35.563	-0.200	35.643
4545	40.822	6.452	38.242	38.242	0.000	38.242	41.130	13.373	35.781	35.721	-0.022	35.729
4546	40.822	6.452	38.242	38.242	0.000	38.242	41.167	13.301	35.847	35.784	-0.038	35.800
4547	40.822	6.452	38.242	38.242	0.000	38.242	40.212	11.206	35.730	35.728	0.187	35.653
4548	40.822	6.452	38.242	38.242	0.000	38.242	40.104	10.881	35.752	35.725	0.070	35.697
4549	40.822	6.452	38.242	38.242	0.000	38.242	41.205	13.031	35.992	35.922	-0.115	35.968
4550	40.822	6.452	38.242	38.242	0.000	38.242	41.441	13.373	36.092	36.039	-0.019	36.047
4551	40.822	6.452	38.242	38.242	0.000	38.242	41.458	13.262	36.153	36.017	-0.188	36.092
4552	40.822	6.452	38.242	38.242	0.000	38.242	39.698	9.523	35.889	35.812	0.016	35.806
4553	40.822	6.452	38.242	38.242	0.000	38.242	37.316	4.588	35.481	35.394	0.090	35.358
4554	40.822	6.452	38.242	38.242	0.000	38.242	35.375	0.642	35.118	34.999	0.068	34.972
4555	40.822	6.452	38.242	38.242	0.000	38.242	34.997	-0.041	35.013	34.924	0.013	34.919
4556	40.822	6.452	38.242	38.242	0.000	38.242	34.970	0.004	34.968	34.873	0.008	34.870
4557	40.822	6.452	38.242	38.242	0.000	38.242	34.923	0.008	34.920	34.825	0.008	34.822
4558	40.822	6.452	38.242	38.242	0.000	38.242	34.874	0.008	34.871	34.777	0.008	34.774
4559	40.822	6.452	38.242	38.242	0.000	38.242	34.826	0.008	34.823	34.729	0.008	34.726
4560	40.822	6.452	38.242	38.242	0.000	38.242	34.778	0.008	34.775	34.681	0.008	34.678
4561	40.822	6.452	38.242	38.242	0.000	38.242	34.730	0.008	34.727	34.634	0.008	34.630
4562	40.822	6.452	38.242	38.242	0.000	38.242	34.683	0.008	34.680	34.586	0.008	34.583
4563	40.822	6.452	38.242	38.242	0.000	38.242	34.635	0.008	34.632	34.539	0.008	34.535
4564	40.822	6.452	38.242	38.242	0.000	38.242	34.587	0.008	34.584	34.491	0.008	34.488
4565	40.822	6.452	38.242	38.242	0.000	38.242	34.632	0.197	34.553	34.526	0.159	34.462
4566	40.822	6.452	38.242	38.242	0.000	38.242	36.359	3.821	34.830	34.780	0.010	34.776
4567	40.822	6.452	38.242	38.242	0.000	38.242	38.805	8.840	35.269	35.193	-0.119	35.241
4568	40.822	6.452	38.242	38.242	0.000	38.242	40.743	12.727	35.652	35.548	-0.213	35.633
4569	40.822	6.452	38.242	38.242	0.000	38.242	41.127	13.373	35.778	35.710	-0.025	35.720
4570	40.822	6.452	38.242	38.242	0.000	38.242	41.146	13.264	35.840	35.754	-0.079	35.786
4571	40.822	6.452	38.242	38.242	0.000	38.242	40.206	11.200	35.726	35.690	0.111	35.646
4572	40.822	6.452	38.242	38.242	0.000	38.242	40.103	10.886	35.749	35.738	0.095	35.700
4573	40.822	6.452	38.242	38.242	0.000	38.242	41.196	13.020	35.988	35.904	-0.142	35.961
4574	40.822	6.452	38.242	38.242	0.000	38.242	41.437	13.373	36.088	36.033	-0.022	36.042
4575	40.822	6.452	38.242	38.242	0.000	38.242	41.459	13.271	36.150	36.015	-0.186	36.089
4576	40.822	6.452	38.242	38.242	0.000	38.242	39.695	9.523	35.886	35.829	0.040	35.813
4577	40.822	6.452	38.242	38.242	0.000	38.242	37.312	4.587	35.477	35.431	0.121	35.382
4578	40.822	6.452	38.242	38.242	0.000	38.242	35.372	0.644	35.115	35.063	0.114	35.018
4579	40.822	6.452	38.242	38.242	0.000	38.242	34.993	-0.041	35.010	34.958	-0.017	34.965
4580	40.822	6.452	38.242	38.242	0.000	38.242	34.966	0.004	34.965	34.922	0.005	34.920
4581	40.822	6.452	38.242	38.242	0.000	38.242	34.919	0.008	34.916	34.875	0.008	34.872
4582	40.822	6.452	38.242	38.242	0.000	38.242	34.871	0.008	34.868	34.827	0.008	34.823
4583	40.822	6.452	38.242	38.242	0.000	38.242	34.823	0.008	34.820	34.778	0.008	34.775
4584	40.822	6.452	38.242	38.242	0.000	38.242	34.775	0.008	34.772	34.731	0.008	34.728
4585	40.822	6.452	38.242	38.242	0.000	38.242	34.727	0.008	34.724	34.683	0.008	34.680
4586	40.822	6.452	38.242	38.242	0.000	38.242	34.679	0.008	34.676	34.636	0.008	34.633
4587	40.822	6.452	38.242	38.242	0.000	38.242	34.632	0.008	34.628	34.588	0.008	34.585
4588	40.822	6.452	38.242	38.242	0.000	38.242	34.584	0.008	34.581	34.593	0.094	34.555
4589	40.822	6.452	38.242	38.242	0.000	38.242	34.624	0.188	34.549	34.703	0.356	34.560
4590	40.822	6.452	38.242	38.242	0.000	38.242	36.351	3.813	34.826	34.858	0.002	34.857
4591	40.822	6.452	38.242	38.242	0.000	38.242	38.813	8.865	35.267	35.295	-0.084	35.329
4592	40.822	6.452	38.242	38.242	0.000	38.242	40.721	12.688	35.645	35.704	-0.082	35.737
4593	40.822	6.452	38.242	38.242	0.000	38.242	41.123	13.373	35.774	35.806	-0.020	35.814
4594	40.822	6.452	38.242	38.242	0.000	38.242	41.120	13.218	35.833	35.871	-0.032	35.884
4595	40.822	6.452	38.242	38.242	0.000	38.242	40.147	11.087	35.712	35.823	0.211	35.738
4596	40.822	6.452	38.242	38.242	0.000	38.242	40.115	10.919	35.747	35.780	0.021	35.772
4597	40.822	6.452	38.242	38.242	0.000	38.242	41.188	13.013	35.983	35.966	-0.188	36.041
4598	40.822	6.452	38.242	38.242	0.000	38.242	41.434	13.375	36.084	36.111	-0.033	36.124
4599	40.822	6.452	38.242	38.242	0.000	38.242	41.502	13.370	36.154	36.179	-0.034	36.193
4600	40.822	6.452	38.242	38.242	0.000	38.242	39.694	9.529	35.882	35.908	0.025	35.898
4601	40.822	6.452	38.242	38.242	0.000	38.242	37.305	4.581	35.473	35.495	0.108	35.452
4602	40.822	6.452	38.242	38.242	0.000	38.242	35.357	0.619	35.109	35.163	0.198	35.084
4603	40.822	6.452	38.242	38.242	0.000	38.242	34.984	-0.053	35.005	35.027	0.019	35.020
4604	40.822	6.452	38.242	38.242	0.000	38.242	34.964	0.007	34.961	34.974	0.009	34.970
4605	40.822	6.452	38.242	38.242	0.000	38.242	34.916	0.008	34.913	34.925	0.008	34.921
4606	40.822	6.452	38.242	38.242	0.000	38.242	34.867	0.008	34.864	34.876	0.008	34.873
4607	40.822	6.452	38.242	38.242	0.000	38.242	34.819	0.008	34.816	34.828	0.008	34.825
4608	40.822	6.452	38.242	38.242	0.000	38.242	34.771	0.008	34.768	34.780	0.008	34.777
4609	40.822	6.452	38.242	38.242	0.000	38.242	34.724	0.008	34.720	34.732	0.008	34.729
4610	40.822	6.452	38.242	38.242	0.000	38.242	34.676	0.008	34.673	34.684	0.008	34.681
4611	40.822	6.452	38.242	38.242	0.000	38.242	34.628	0.008	34.625	34.636	0.008	34.633
4612	40.822	6.452	38.242	38.242	0.000	38.242	34.581	0.008	34.577	34.589	0.008	34.586
4613	40.822	6.452	38.242	38.242	0.000	38.242	34.950	0.854	34.608	34.607	0.129	34.555
4614	40.822	6.452	38.242	38.242	0.000	38.242	36.361	3.824	34.832	34.875	0.005	34.873
4615	40.822	6.452	38.242	38.242	0.000	38.242	38.776	8.773	35.266	35.296	-0.106	35.339
4616	40.822	6.452	38.242	38.242	0.000	38.242	40.793	12.820	35.665	35.683	-0.136	35.738
4617	40.822	6.452	38.242	38.242	0.000	38.242	41.131	13.371	35.782	35.813	-0.016	35.820
4618	40.822	6.452	38.242	38.242	0.000	38.242	41.196	13.358	35.853	35.881	-0.022	35.890
4619	40.822	6.452	38.242	38.242	0.000	38.242	40.214	11.207	35.731	35.818	0.192	35.741
4620	40.822	6.452	38.242	38.242	0.000	38.242	40.120	10.910	35.756	35.810	0.065	35.784
4621	40.822	6.452	38.242	38.242	0.000	38.242	41.195	13.008	35.992	36.004	-0.124	36.054
4622	40.822	6.452	38.242	38.242	0.000	38.242	41.442	13.372	36.093	36.125	-0.021	36.133
4623	40.822	6.452	38.242	38.242	0.000	38.242	41.480	13.304	36.158	36.111	-0.170	36.180
4624	40.822	6.452	38.242	38.242	0.000	38.242	39.701	9.525	35.891	35.911	0.039	35.896
4625	40.822	6.452	38.242	38.242	0.000	38.242	37.316	4.585	35.482	35.487	0.102	35.447
4626	40.822	6.452	38.242	38.242	0.000	38.242	35.369	0.627	35.118	35.098	0.089	35.062
4627	40.822	6.452	38.242	38.242	0.000	38.242	34.992	-0.055	35.014	35.013	0.013	35.007
4628	40.822	6.452	38.242	38.242	0.000	38.242	34.973	0.007	34.970	34.961	0.008	34.958
4629	40.822	6.452	38.242	38.242	0.000	38.242	34.924	0.008	34.921	34.913	0.008	34.909
4630	40.822	6.452	38.242	38.242	0.000	38.242	34.876	0.008	34.873	34.864	0.008	34.861
4631	40.822	6.452	38.242	38.242	0.000	38.242	34.828	0.008	34.825	34.816	0.008	34.813
4632	40.822	6.452	38.242	38.242	0.000	38.242	34.780	0.008	34.777	34.768	0.008	34.765
4633	40.822	6.452	38.242	38.242	0.000	38.242	34.732	0.008	34.729	34.720	0.008	34.717
4634	40.822	6.452	38.242	38.242	0.000	38.242	34.684	0.008	34.681	34.672	0.008	34.669
4635	40.822	6.452	38.242	38.242	0.000	38.242	34.636	0.008	34.633	34.625	0.008	34.621
