Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Shanghai Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.1	0.35	0.79	0.13	0.4	1.08	291.56	68.55	0.07	0.28	99.99	0.63	0.56	0.00394	61.44	False	99.6	Perfect
01-Sonnenstand	Kaxgar Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	29.93	2.0	0.64	0.43	0.35	1.03	69.89	1.97	1.46	0.87	99.87	0.59	2.44	0.03868	16.67	False	98.27	Perfect
01-Sonnenstand	Kaxgar Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.12	0.32	0.71	0.32	0.32	1.08	293.6	66.44	0.18	0.25	99.99	0.57	0.56	0.00312	58.42	False	99.58	Perfect
01-Sonnenstand	Singapur Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.97	0.87	0.92	0.1	0.14	1.11	89.22	1.77	0.24	0.43	99.97	0.37	0.94	0.0207	23.08	False	99.28	Perfect
01-Sonnenstand	Singapur Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.11	2.63	1.17	0.32	22.35	119.09	359.53	0.29	0.18	1.33	99.68	4.73	3.06	0.06218	85.26	False	98.06	Perfect
01-Sonnenstand	Lima Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.83	0.64	0.66	-0.16	0.08	1.1	89.51	1.49	-0.38	0.31	99.99	0.27	0.71	0.01216	23.43	False	99.39	Perfect
01-Sonnenstand	Lima Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.07	5.0	25.79	-0.09	81.11	358.9	359.9	0.18	-0.05	2.51	99.19	9.01	4.97	0.14986	101.81	False	96.64	Perfect
01-Sonnenstand	Denver Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	29.79	1.97	0.67	0.39	0.33	1.14	69.6	1.87	1.32	0.85	99.88	0.58	2.4	0.04131	16.61	False	98.35	Perfect
01-Sonnenstand	Denver Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.13	0.33	0.71	-0.37	0.35	1.21	293.69	66.39	-0.21	0.26	99.99	0.59	0.58	0.0044	58.32	False	99.57	Perfect
01-Sonnenstand	Barrow Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	15.44	4.52	0.52	0.55	0.45	1.22	38.06	1.96	3.69	1.86	99.6	0.67	4.97	0.08843	10.48	False	94.38	Perfect
