Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
02-SolareLasten Perez	Direktstrahlung W 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	220.05	57.53	44.26	-43.73	23032.17	737.15	622.27	0.0	-16.58	15.37	65.13	151.76	32.92	0.65497	199.5	False	84.5	Good
02-SolareLasten Perez	Direktstrahlung W 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	191.98	35.71	3.43	-14.92	5458.56	422.35	593.7	0.0	-7.21	12.87	86.65	73.88	19.94	0.58643	194.23	False	84.95	Good
02-SolareLasten Perez	Direktstrahlung N-W 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	172.72	77.92	73.55	-68.9	35445.19	780.0	511.7	0.0	-28.52	18.01	45.66	188.27	50.05	0.68347	154.32	False	80.57	Good
02-SolareLasten Perez	Direktstrahlung N-W 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	118.93	52.8	24.91	-14.17	4938.48	443.78	455.9	0.0	-10.65	11.82	78.24	70.27	27.31	0.48431	132.45	False	71.67	Failed
02-SolareLasten Perez	Diffusstrahlung - 0	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	113.27	13.34	11.61	0.15	227.64	80.06	411.23	0.0	0.13	3.5	97.18	15.09	17.35	0.24475	90.6	False	95.62	Perfect
02-SolareLasten Perez	Diffusstrahlung N 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	70.65	13.91	14.25	-0.2	97.14	46.92	204.94	0.0	-0.28	4.98	95.14	9.86	14.17	0.26577	47.35	False	94.11	Perfect
02-SolareLasten Perez	Diffusstrahlung N 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	100.13	15.77	6.8	4.08	229.58	71.28	367.28	0.0	4.25	4.19	96.22	15.15	25.13	0.26465	81.19	False	94.47	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	74.43	19.21	20.41	-2.51	218.39	69.5	203.97	0.0	-3.26	6.38	91.13	14.78	21.07	0.31308	49.65	False	92.14	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	103.06	16.88	10.26	2.33	288.99	96.99	366.15	0.0	2.31	4.76	95.47	17.0	24.13	0.27257	82.59	False	94.11	Perfect
02-SolareLasten Perez	Diffusstrahlung E 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	83.51	25.51	30.3	-3.95	497.96	116.33	211.18	0.0	-4.51	7.9	85.15	22.31	24.24	0.34563	56.3	False	90.74	Perfect
02-SolareLasten Perez	Diffusstrahlung E 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	109.62	17.76	11.41	-0.52	382.68	101.65	374.83	0.0	-0.47	5.22	94.55	19.56	21.59	0.28232	85.57	False	93.58	Perfect
02-SolareLasten Perez	Diffusstrahlung S-E 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	91.1	25.43	23.97	-3.79	582.53	135.0	266.29	0.0	-4.0	9.96	85.54	24.14	21.42	0.32979	63.41	False	89.98	Good
02-SolareLasten Perez	Diffusstrahlung S-E 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	115.62	16.26	12.72	-2.93	371.45	89.52	388.27	0.0	-2.47	4.76	95.1	19.27	17.88	0.2685	88.21	False	94.33	Perfect
02-SolareLasten Perez	Diffusstrahlung S 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	92.54	21.07	22.69	-6.2	432.9	102.27	236.25	0.0	-6.28	7.9	90.07	20.81	17.59	0.3014	63.62	False	91.67	Perfect
02-SolareLasten Perez	Diffusstrahlung S 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	117.48	15.31	13.42	-5.23	353.08	85.7	398.41	0.0	-4.26	4.38	95.48	18.79	16.54	0.25845	88.68	False	94.68	Perfect
02-SolareLasten Perez	Diffusstrahlung S-W 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	88.48	23.57	23.94	-9.85	537.15	85.29	243.59	0.0	-10.02	8.51	87.9	23.18	21.73	0.3191	60.29	False	90.49	Perfect
02-SolareLasten Perez	Diffusstrahlung S-W 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	114.48	17.0	12.4	-5.97	419.28	102.95	402.37	0.0	-4.95	4.72	94.53	20.48	17.24	0.27282	87.29	False	94.15	Perfect
02-SolareLasten Perez	Diffusstrahlung W 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	81.48	22.89	25.29	-8.34	422.55	85.97	232.03	0.0	-9.28	7.65	88.21	20.56	22.27	0.31157	55.06	False	91.08	Perfect
02-SolareLasten Perez	Diffusstrahlung W 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	108.44	17.55	12.79	-4.1	390.09	105.41	394.63	0.0	-3.64	4.75	94.49	19.75	19.6	0.27881	84.75	False	94.12	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 90	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	74.18	16.93	12.6	-2.66	169.2	56.55	213.72	0.0	-3.46	6.5	92.78	13.01	15.87	0.26564	49.21	False	92.53	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 30	ETU1	ETU Simulation	4.1	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	102.51	16.57	8.65	0.43	286.08	97.78	379.52	0.0	0.42	4.38	95.5	16.91	22.35	0.26853	82.12	False	94.55	Perfect
02-SolareLasten Perez	Sun azimuth angle	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	179.98	36.48	66.28	23.92	3241.09	314.99	360.0	0.1	15.33	22.06	22.53	56.93	49.61	0.48	100.35	False	77.19	Failed
02-SolareLasten Perez	Sun elevation angle	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	-3.74	363.93	40.48	-6.81	125.11	30.44	57.0	-60.9	-221.62	12.79	72.11	11.19	34.08	-99	28.83	False	86.87	Good
02-SolareLasten Perez	Direktstrahlung - 0	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	133.82	24.31	10.23	-5.49	1146.93	129.17	517.0	0.0	-3.94	6.37	95.15	33.87	13.41	0.70058	155.44	False	89.68	Good
02-SolareLasten Perez	Direktstrahlung N 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	52.29	130.7	67.94	-64.54	23315.5	455.37	157.4	0.0	-55.24	31.1	-21.78	152.69	149.94	1.18048	40.39	False	71.1	Failed
02-SolareLasten Perez	Direktstrahlung N 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	59.57	71.37	38.07	-9.77	2449.39	294.54	221.86	0.0	-14.09	15.59	55.8	49.49	49.83	0.6424	60.75	False	48.41	Failed
02-SolareLasten Perez	Direktstrahlung N-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	107.3	62.35	36.44	21.16	2884.84	317.08	522.44	0.0	24.56	11.5	74.37	53.71	35.52	0.44926	136.55	False	59.99	Failed
02-SolareLasten Perez	Direktstrahlung N-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	92.2	37.21	15.88	9.86	938.78	232.89	426.67	0.0	11.97	7.82	90.5	30.64	26.94	0.48984	114.76	False	88.68	Good
02-SolareLasten Perez	Direktstrahlung E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	168.15	44.1	21.87	23.06	4093.13	355.0	636.89	0.0	15.89	11.24	85.2	63.98	28.72	0.61467	198.3	False	87.16	Good
02-SolareLasten Perez	Direktstrahlung E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	159.51	29.12	13.87	11.87	1849.04	251.85	633.6	0.0	8.04	7.76	93.64	43.0	16.35	0.5632	186.7	False	89.22	Good
02-SolareLasten Perez	Direktstrahlung S-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	200.48	28.64	14.22	12.02	2912.53	304.41	763.26	0.0	6.38	8.09	93.72	53.97	15.04	0.6425	231.06	False	88.82	Good
02-SolareLasten Perez	Direktstrahlung S-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	198.73	23.49	9.87	5.96	2050.46	264.07	727.28	0.0	3.09	6.67	96.0	45.28	12.93	0.60072	235.42	False	89.87	Good
02-SolareLasten Perez	Direktstrahlung S 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	193.7	23.77	9.77	-7.34	2283.36	273.84	695.05	0.0	-3.65	6.46	96.1	47.78	12.12	0.71796	240.79	False	90.15	Perfect
02-SolareLasten Perez	Direktstrahlung S 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	209.41	22.49	8.95	-6.66	2362.2	248.79	776.18	0.0	-3.08	6.05	96.16	48.6	13.08	0.68794	248.95	False	90.06	Perfect
02-SolareLasten Perez	Direktstrahlung S-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	201.91	48.22	6.68	-47.52	14466.54	638.99	692.2	0.0	-19.05	17.0	73.25	120.28	29.08	0.86018	209.93	False	81.37	Good
02-SolareLasten Perez	Direktstrahlung S-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	200.7	34.6	6.92	-26.66	6189.35	398.67	756.76	0.0	-11.73	10.57	88.81	78.67	19.49	0.79491	227.34	False	86.56	Good
02-SolareLasten Perez	Direktstrahlung W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	170.44	83.94	44.81	-93.34	49027.41	916.21	617.45	0.0	-35.39	22.43	25.78	221.42	48.03	0.92216	165.91	False	77.22	Failed
02-SolareLasten Perez	Direktstrahlung W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	165.76	53.98	10.98	-41.13	12471.12	534.72	591.98	0.0	-19.88	19.45	69.49	111.67	30.14	0.78816	176.44	False	79.9	Failed
02-SolareLasten Perez	Direktstrahlung N-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	119.23	106.59	74.58	-122.38	66324.84	969.86	507.74	0.0	-50.65	24.64	-1.69	257.54	68.46	1.0892	122.47	False	73.7	Failed
02-SolareLasten Perez	Direktstrahlung N-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	97.93	75.67	30.49	-35.17	10143.48	551.78	424.47	0.0	-26.42	16.94	55.31	100.71	39.15	0.72554	113.82	False	67.22	Failed
02-SolareLasten Perez	Diffusstrahlung - 0	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	113.27	13.34	11.61	0.15	227.69	80.06	411.23	0.0	0.13	3.5	97.18	15.09	17.35	0.24472	90.6	False	95.62	Perfect
02-SolareLasten Perez	Diffusstrahlung N 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	70.14	15.46	13.26	-0.7	119.96	49.75	204.95	0.0	-0.99	5.53	93.99	10.95	15.74	0.29773	47.52	False	93.6	Perfect
02-SolareLasten Perez	Diffusstrahlung N 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	100.07	15.86	6.71	4.01	231.94	71.66	367.28	0.0	4.18	4.21	96.18	15.23	25.26	0.26838	81.22	False	94.45	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	73.92	19.81	20.32	-3.02	232.21	69.38	203.85	0.0	-3.92	6.57	90.56	15.24	21.72	0.33984	50.09	False	91.96	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	102.99	16.82	10.07	2.26	287.03	96.98	366.13	0.0	2.25	4.74	95.5	16.94	24.05	0.27372	82.65	False	94.12	Perfect
02-SolareLasten Perez	Diffusstrahlung E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	83.0	25.5	29.52	-4.46	497.44	116.33	212.25	0.0	-5.1	7.9	85.16	22.3	24.22	0.36988	56.95	False	90.73	Perfect
02-SolareLasten Perez	Diffusstrahlung E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	109.55	17.69	11.24	-0.59	379.72	101.64	374.81	0.0	-0.53	5.2	94.59	19.49	21.51	0.28416	85.64	False	93.6	Perfect
02-SolareLasten Perez	Diffusstrahlung S-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	90.59	25.43	23.39	-4.31	582.27	136.07	267.36	0.0	-4.54	9.96	85.55	24.13	21.42	0.35521	63.99	False	89.97	Good
02-SolareLasten Perez	Diffusstrahlung S-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	115.55	16.23	12.59	-3.0	369.98	89.5	388.25	0.0	-2.53	4.75	95.12	19.23	17.84	0.27059	88.26	False	94.34	Perfect
02-SolareLasten Perez	Diffusstrahlung S 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	92.04	21.83	22.66	-6.7	464.51	103.34	236.1	0.0	-6.79	8.19	89.35	21.55	18.22	0.33186	63.84	False	91.37	Perfect
02-SolareLasten Perez	Diffusstrahlung S 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	117.41	15.39	13.47	-5.29	356.57	86.71	398.39	0.0	-4.31	4.4	95.44	18.88	16.62	0.2612	88.72	False	94.66	Perfect
02-SolareLasten Perez	Diffusstrahlung S-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	87.98	25.13	24.2	-10.35	610.52	89.61	243.6	0.0	-10.53	9.08	86.24	24.71	23.17	0.35188	60.08	False	89.96	Good
02-SolareLasten Perez	Diffusstrahlung S-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	114.42	17.17	12.43	-6.03	427.8	103.96	402.37	0.0	-5.01	4.77	94.42	20.68	17.41	0.27763	87.3	False	94.1	Perfect
02-SolareLasten Perez	Diffusstrahlung W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	80.98	24.83	25.61	-8.84	497.3	98.42	232.03	0.0	-9.84	8.29	86.12	22.3	24.16	0.34211	54.73	False	90.46	Perfect
02-SolareLasten Perez	Diffusstrahlung W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	108.37	17.77	12.84	-4.16	399.99	106.41	394.63	0.0	-3.7	4.81	94.35	20.0	19.85	0.28396	84.75	False	94.06	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	73.68	19.13	12.61	-3.16	215.99	69.49	213.73	0.0	-4.11	7.35	90.78	14.7	17.93	0.2995	49.09	False	91.73	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	102.45	16.79	8.7	0.36	293.77	98.16	379.52	0.0	0.36	4.44	95.38	17.14	22.65	0.27368	82.13	False	94.5	Perfect
02-SolareLasten Perez	Sun azimuth angle	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	-0.07	105.3	66.25	-156.13	27004.51	404.8	179.9	-179.98	-100.04	63.69	-545.48	164.33	143.21	-99	100.07	False	33.08	Failed
02-SolareLasten Perez	Sun elevation angle	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	-4.31	375.8	40.69	-7.38	133.28	30.51	56.76	-61.01	-240.23	13.2	70.29	11.54	35.17	-99	28.84	False	86.42	Good
02-SolareLasten Perez	Direktstrahlung - 0	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	134.74	10.41	9.2	-4.57	210.3	75.94	512.39	0.0	-3.28	2.73	99.11	14.5	5.74	0.27058	148.64	False	93.43	Perfect
02-SolareLasten Perez	Direktstrahlung N 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	115.97	35.69	1.07	-0.86	1738.07	336.1	485.68	0.0	-0.73	8.49	90.92	41.69	40.94	0.39126	136.95	False	89.63	Good
02-SolareLasten Perez	Direktstrahlung N 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	64.63	21.29	12.85	-4.71	217.88	166.28	289.69	0.0	-6.8	4.65	96.07	14.76	14.86	0.34114	70.26	False	79.42	Failed
02-SolareLasten Perez	Direktstrahlung N-E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	80.22	28.8	27.08	-5.92	615.59	123.25	379.92	0.0	-6.87	5.31	94.53	24.81	16.41	0.25366	93.39	False	91.29	Perfect
02-SolareLasten Perez	Direktstrahlung N-E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	77.02	19.21	16.08	-5.32	250.24	103.24	330.73	-0.0	-6.47	4.04	97.47	15.82	13.91	0.30896	93.24	False	92.53	Perfect
02-SolareLasten Perez	Direktstrahlung E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	138.4	18.17	16.15	-6.69	694.93	148.72	496.74	0.0	-4.61	4.63	97.49	26.36	11.83	0.28644	155.4	False	93.05	Perfect
02-SolareLasten Perez	Direktstrahlung E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	141.11	13.9	13.43	-6.53	421.33	116.04	532.01	0.0	-4.42	3.71	98.55	20.53	7.8	0.2663	162.86	False	92.82	Perfect
02-SolareLasten Perez	Direktstrahlung S-E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	184.36	11.92	12.88	-4.1	504.92	121.76	648.84	0.0	-2.17	3.37	98.91	22.47	6.26	0.28882	208.22	False	92.68	Perfect
02-SolareLasten Perez	Direktstrahlung S-E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	187.54	11.12	11.3	-5.23	459.45	115.76	663.46	0.0	-2.71	3.16	99.1	21.43	6.12	0.27869	219.16	False	92.98	Perfect
02-SolareLasten Perez	Direktstrahlung S 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	201.47	11.22	9.7	0.42	508.89	185.19	717.57	0.0	0.21	3.05	99.13	22.56	5.72	0.31191	240.08	False	93.22	Perfect
02-SolareLasten Perez	Direktstrahlung S 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	212.43	10.09	9.35	-3.64	475.74	158.37	783.82	0.0	-1.68	2.71	99.23	21.81	5.87	0.29449	242.77	False	93.28	Perfect
02-SolareLasten Perez	Direktstrahlung S-W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	251.99	13.06	4.06	2.56	1060.93	351.68	692.47	0.0	1.03	4.6	98.04	32.57	7.87	0.35283	230.84	False	91.38	Perfect
02-SolareLasten Perez	Direktstrahlung S-W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	224.44	10.62	5.82	-2.92	582.62	175.03	739.55	0.0	-1.28	3.24	98.95	24.14	5.98	0.32501	230.28	False	93.05	Perfect
02-SolareLasten Perez	Direktstrahlung W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	266.08	19.7	10.2	2.29	2701.25	524.49	915.97	0.0	0.87	5.26	95.91	51.97	11.27	0.36874	246.73	False	93.51	Perfect
02-SolareLasten Perez	Direktstrahlung W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	203.88	13.37	7.68	-3.02	765.58	260.47	569.33	0.0	-1.46	4.82	98.13	27.67	7.47	0.34228	195.41	False	90.9	Perfect
02-SolareLasten Perez	Direktstrahlung N-W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	241.1	25.7	8.51	-0.52	3855.49	608.53	990.8	0.0	-0.21	5.94	94.09	62.09	16.51	0.38264	244.91	False	90.94	Perfect
02-SolareLasten Perez	Direktstrahlung N-W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	129.39	18.11	10.87	-3.71	581.23	302.63	543.17	0.0	-2.79	4.05	97.44	24.11	9.37	0.3356	143.86	False	54.7	Failed
02-SolareLasten Perez	Diffusstrahlung - 0	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	112.74	7.63	10.39	-0.38	74.41	33.89	410.37	4.98	-0.33	2.0	99.08	8.63	9.92	0.13259	88.31	False	97.38	Perfect
02-SolareLasten Perez	Diffusstrahlung N 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	70.43	5.46	9.24	-0.42	14.96	16.27	194.32	2.57	-0.59	1.95	99.25	3.87	5.56	0.1171	44.39	False	97.35	Perfect
02-SolareLasten Perez	Diffusstrahlung N 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	95.59	7.43	9.94	-0.46	50.92	29.62	352.45	4.5	-0.48	1.97	99.16	7.14	11.84	0.13215	76.89	False	97.49	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	75.83	7.44	12.81	-1.1	32.8	43.86	210.54	2.57	-1.44	2.47	98.67	5.73	8.16	0.11934	48.78	False	96.29	Perfect
02-SolareLasten Perez	Diffusstrahlung N-E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	99.79	7.79	11.45	-0.93	61.63	41.82	348.3	4.5	-0.93	2.2	99.03	7.85	11.14	0.13408	78.27	False	97.14	Perfect
02-SolareLasten Perez	Diffusstrahlung E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	85.98	9.19	18.0	-1.48	64.65	77.81	256.2	2.57	-1.69	2.85	98.07	8.04	8.73	0.12645	56.36	False	95.89	Perfect
02-SolareLasten Perez	Diffusstrahlung E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	109.04	8.11	11.6	-1.1	79.7	47.19	359.44	4.5	-1.0	2.38	98.86	8.93	9.85	0.13631	81.82	False	96.76	Perfect
02-SolareLasten Perez	Diffusstrahlung S-E 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	93.86	8.83	12.38	-1.03	70.27	68.52	230.7	2.57	-1.08	3.46	98.26	8.38	7.44	0.12728	62.25	False	95.42	Perfect
02-SolareLasten Perez	Diffusstrahlung S-E 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	117.74	7.8	11.4	-0.81	85.61	42.55	379.2	4.5	-0.68	2.29	98.87	9.25	8.58	0.13388	85.14	False	96.8	Perfect
02-SolareLasten Perez	Diffusstrahlung S 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	99.29	8.68	12.7	0.55	73.42	49.17	238.0	2.57	0.55	3.25	98.32	8.57	7.24	0.14903	65.28	False	95.9	Perfect
02-SolareLasten Perez	Diffusstrahlung S 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	122.86	7.68	10.73	0.16	88.91	44.02	396.13	4.5	0.13	2.2	98.86	9.43	8.3	0.1383	86.68	False	96.97	Perfect
02-SolareLasten Perez	Diffusstrahlung S-W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	99.91	10.84	7.79	1.58	113.72	85.38	263.93	2.57	1.6	3.92	97.44	10.66	10.0	0.18057	66.88	False	95.8	Perfect
02-SolareLasten Perez	Diffusstrahlung S-W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	121.26	8.11	11.75	0.81	95.48	50.06	400.22	4.5	0.67	2.25	98.75	9.77	8.23	0.14725	86.32	False	97.02	Perfect
02-SolareLasten Perez	Diffusstrahlung W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	91.17	10.94	7.26	1.35	96.51	86.96	263.81	2.57	1.5	3.65	97.31	9.82	10.64	0.18854	60.52	False	95.98	Perfect
02-SolareLasten Perez	Diffusstrahlung W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	113.28	8.12	10.96	0.75	83.49	50.84	389.14	4.5	0.66	2.2	98.82	9.14	9.07	0.14972	83.31	False	97.11	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 90	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	77.13	7.38	8.4	0.29	32.18	41.92	198.42	2.57	0.38	2.84	98.63	5.67	6.92	0.16017	48.59	False	96.33	Perfect
02-SolareLasten Perez	Diffusstrahlung N-W 30	IDAICE	IDA ICE	4.8.0.1	W/m2	Caroline Seifert, INNIUS DÖ	0	102.23	7.49	10.43	0.14	58.48	28.76	369.32	4.5	0.13	1.98	99.08	7.65	10.11	0.13814	78.99	False	97.36	Perfect
